year,make,model,engine,vincylinders,totalfuelcapacity,cityfuelefficiency,highwayfuelefficiency,combinedfuelefficiency,transmission,messageid,vin,id,milstatus,imei,devicetime,lastcontacttime,acceleration,deceleration,rpm,ignitionstate,speed,fuelefficiency,fuellevel,batteryconnected,batteryriskseverity,battery,lat,lng,altitude,dilution,x,y,z,headingvalue,headingdirection,virtualodometer,eventcode,sequencenumber,source,revision,gatewaytimestamp,towstate,accidentstate,idlestate,harsheventstate,parkedstate,tripid,tripaction,tripstarttimestamp,tripendtimestamp,tripcompleted,tripduration,tripstartodometer,tripendodometer,tripstartlat,tripstartlng,tripendlat,tripendlng,fueltype
,,,,,,,,,,b3972141-b5ce-4f8b-9f85-224212896c7c,WBSFV9C54CC772309,0f20fb6a-4ba8-4e16-a67c-7bb23d3b07cc,,352648063153894,2015-08-19T00:59:54.0000000,2015-08-19T00:59:59.9525841,0,9.9779328,1167,1,29.933724,8.928017847,78.4,,4,14.4,49.21956,-123.12867,63,1.1,2.22610955,11.0815145,1.5886773,179,South,2833,6007,90,xirgo,10211,2015-08-19T00:59:59.1069168,0,,0,,0,0fcf8d95-c286-4809-9cd2-cf9a053501e0,2,2015-08-18T00:36:40.4968226,2015-08-18T13:57:54.3376228,0,13:21:13.8408002,Record,Record,47.464383,-122.246028,49.28381,-123.12,0
,,,,,,,,,,06782181-d95f-4ffd-985e-25ef3a2f592e,1C4RDJAG0EC503580,b8dead6b-5351-4112-8e8d-a4a313f121f7,,999900000000201,2015-08-19T00:59:51.0000000,2015-08-19T01:00:00.2365705,0,0,2206,1,70.971894,0,21.1,,4,14.3,47.38662,-122.22625,20.8,0.7,4.903325,3.67749375,6.26644935,88.8,East,1572,6036,171,xirgo,15377,2015-08-19T00:59:59.3206456,0,,0,,0,e7dd9bb7-0172-47c0-a1e5-056121f576f5,2,2015-08-19T00:40:26.8768545,2015-08-19T00:40:26.8768545,0,00:00:00,Record,Record,47.43255,-122.25785,49.28381,-123.12,0
,,,,,,,,,,349e7f29-9b37-4ce4-bd93-9fdf68c8cfb2,WMWMF73537TV30467,30b700f6-b3c7-40b6-8ae5-cd8c9eeb2517,,999900000000139,2015-08-19T00:58:33.0000000,2015-08-19T00:59:59.7848182,0,9.9779328,1339,1,53.91289,9.9908771145,74.1,1,4,14,49.24229,-122.60662,4.4,0.7,4.01091985,3.138128,5.07003805,90.7,East,175,6007,108,xirgo,10361,2015-08-19T00:59:59.1694300,0,,0,,0,be29db0b-657d-4ab4-84ed-63c7ae5f08db,2,2015-08-18T23:54:19.5589880,2015-08-18T23:54:19.5589880,0,00:00:00,Record,Record,49.155611,-122.940999,49.28381,-123.12,0
,,,,,,,,,,0e8eee4d-a680-4528-80c3-5c0db04176ac,1FMCU9EG4AKC86240,643e529e-5edb-4a23-af56-071e9b14fbf5,,999900000000207,2015-08-19T00:59:36.0000000,2015-08-19T00:59:59.6905837,0,0,903,1,26.875978,5.3142963375,65.2,,4,14.1,49.28101,-122.95789,84.7,0.8,4.6483521,4.08937305,6.48219565,44,North East,13930,4001,240,xirgo,19500,2015-08-19T00:59:59.4164733,0,,0,,0,9a2a3ab4-0494-40fb-960c-ea6bc0fcc030,2,2015-08-18T23:55:59.8161856,2015-08-19T00:19:07.0486738,0,00:23:07.2324882,Record,Record,43.38584,-79.77725,49.28381,-123.12,0
,,,,,,,,,,cb4bae11-22ac-426c-9c4b-bc617c1ac960,1C4RDJAG0EC503580,b8dead6b-5351-4112-8e8d-a4a313f121f7,,358901049079749,2015-08-19T00:59:51.0000000,2015-08-19T01:00:00.3615754,0,0,2206,1,70.971894,0,21.1,,4,14.3,47.38662,-122.22625,20.8,0.7,4.903325,3.67749375,6.26644935,88.8,East,1572,6036,200,xirgo,15378,2015-08-19T00:59:59.3362647,0,,0,,0,e7dd9bb7-0172-47c0-a1e5-056121f576f5,2,2015-08-19T00:40:26.8768545,2015-08-19T00:40:26.8768545,0,00:00:00,Record,Record,47.43255,-122.25785,49.28381,-123.12,0
0,,,,0,,0,0,0,,b5e8031d-8fe3-41b9-aa35-fd6bd2b3198d,JS2RE91S9B6101167,b2480b2e-a982-4299-892c-a972831ce65b,,999900000000105,2015-08-19T00:59:50.0000000,2015-08-19T01:00:00.4553298,1.9312128,0,1535,1,17.863674,1.8281179401,82.6,1,4,14.2,19.44006,-99.20529,2264.5,2.8,5.44269075,3.4519408,5.1386846,127.2,South East,2037,6001,53,xirgo,25960,2015-08-19T00:59:59.0600669,0,,0,,0,820f8ecb-b2d0-4fa9-9b24-b82e0c15a789,2,2015-08-19T00:58:00.3272109,2015-08-19T00:58:00.3272109,0,00:00:00,Record,Record,19.43994,-99.20635,19.43994,-99.20635,0
,,,,,,,,,,e9ddf21e-a683-4b25-aa99-7436bf68a66b,1FMCU9EG4AKC86240,643e529e-5edb-4a23-af56-071e9b14fbf5,,358901049082404,2015-08-19T00:59:36.0000000,2015-08-19T01:00:00.7104514,0,0,903,1,26.875978,5.3142963375,65.2,,4,14.1,49.28101,-122.95789,84.7,0.8,4.6483521,4.08937305,6.48219565,44,North East,13930,4001,109,xirgo,19501,2015-08-19T00:59:59.4321181,0,,0,,0,9a2a3ab4-0494-40fb-960c-ea6bc0fcc030,2,2015-08-18T23:55:59.8161856,2015-08-19T00:19:07.0486738,0,00:23:07.2324882,Record,Record,43.38584,-79.77725,49.28381,-123.12,0
,,,,,,,,,,b18cfda2-c281-4f3c-9dc1-a98af62908c4,JM3KE4CY0E0419659,9dc8fba7-d734-4563-a9a7-5ea8662d9a93,,999900000000398,2015-08-19T00:59:55.0000000,2015-08-19T00:59:59.8624172,1.9312128,0,1984,1,53.91289,11.478880089,29.4,,4,13.3,49.15919,-122.66061,49,1,-0.12748645,10.79712165,-0.63743225,90,East,13491,4001,197,xirgo,17933,2015-08-19T00:59:59.6606503,0,,0,,0,366c2822-e4cc-4f5d-a72b-6798617ab015,2,2015-08-18T19:08:35.0704016,2015-08-18T19:12:57.3129545,0,00:04:22.2425529,Record,Record,49.23103,-123.00546,49.28381,-123.12,0
,,,,,,,,,,85f100b1-91b9-41e2-8724-820aa2b0c85a,WMWMF73537TV30467,30b700f6-b3c7-40b6-8ae5-cd8c9eeb2517,,358901048760109,2015-08-19T00:58:33.0000000,2015-08-19T01:00:00.3147018,0,9.9779328,1339,1,53.91289,9.9908771145,74.1,1,4,14,49.24229,-122.60662,4.4,0.7,4.01091985,3.138128,5.07003805,90.7,East,175,6007,244,xirgo,10362,2015-08-19T00:59:59.1850700,0,,0,,0,be29db0b-657d-4ab4-84ed-63c7ae5f08db,2,2015-08-18T23:54:19.5589880,2015-08-18T23:54:19.5589880,0,00:00:00,Record,Record,48.004096,-122.199616,49.28381,-123.12,0
,,,,,,,,,,1dce8d4a-af60-4125-b16a-290e1cfba79c,JM3KE4CY0E0419659,9dc8fba7-d734-4563-a9a7-5ea8662d9a93,,352648063157119,2015-08-19T00:59:55.0000000,2015-08-19T01:00:00.7573269,1.9312128,0,1984,1,53.91289,11.478880089,29.4,,4,13.3,49.15919,-122.66061,49,1,-0.12748645,10.79712165,-0.63743225,90,East,13491,4001,118,xirgo,17934,2015-08-19T00:59:59.6762856,0,,0,,0,366c2822-e4cc-4f5d-a72b-6798617ab015,2,2015-08-18T19:08:35.0704016,2015-08-18T19:12:57.3129545,0,00:04:22.2425529,Record,Record,49.23103,-123.00546,49.28381,-123.12,0
0,,,,0,,0,0,0,,2819d0e9-3ea8-4be8-8b8c-b080194cec14,JN8AS5MT9CW260662,740c7492-c140-4574-aabf-21cd3e188f4e,1,999900000000240,2015-08-19T00:59:53.0000000,2015-08-19T01:00:00.0307290,0,0,749,1,0,0,0,1,4,13.2,30.48932,-86.41686,18,1.1,-10.95402805,4.3541526,-0.65704555,0,North,4546,4001,145,xirgo,1041195,2015-08-19T00:59:59.2006795,0,,0,,0,a96260e3-bfe3-45fc-8c10-8abe96f1b8a2,2,2015-08-18T09:13:21.0956039,2015-08-19T00:58:53.4720417,0,15:45:32.3764378,Record,Record,40.71875,-73.36076,47.67526,-122.32182,0
0,,,,0,,0,0,0,,9e5888ef-4875-448b-9737-db76c9eb8b93,JN8AS5MT9CW260662,740c7492-c140-4574-aabf-21cd3e188f4e,1,352648063818488,2015-08-19T00:59:53.0000000,2015-08-19T01:00:00.3328741,0,0,749,1,0,0,0,1,4,13.2,30.48932,-86.41686,18,1.1,-10.95402805,4.3541526,-0.65704555,0,North,4546,4001,23,xirgo,1041196,2015-08-19T00:59:59.2163184,0,,0,,0,a96260e3-bfe3-45fc-8c10-8abe96f1b8a2,2,2015-08-18T09:13:21.0956039,2015-08-19T00:58:53.4720417,0,15:45:32.3764378,Record,Record,40.71875,-73.36076,47.67526,-122.32182,0
0,,,,0,,0,0,0,,094fb2fc-acc2-41d2-8976-29207bef2b64,JN8AS5MT9CW260662,740c7492-c140-4574-aabf-21cd3e188f4e,1,999900000000240,2015-08-19T00:59:53.0000000,2015-08-19T01:00:00.5022010,0,0,749,1,0,0,0,1,4,13.2,30.48932,-86.41686,18,1.1,-10.95402805,4.3541526,-0.65704555,0,North,4546,4001,146,xirgo,1041197,2015-08-19T00:59:59.2319439,0,,0,,0,a96260e3-bfe3-45fc-8c10-8abe96f1b8a2,2,2015-08-18T09:13:21.0956039,2015-08-19T00:58:53.4720417,0,15:45:32.3764378,Record,Record,40.71875,-73.36076,47.67526,-122.32182,0
,,,,,,,,,,bbd64699-a4e4-48bd-90f9-758b476b91da,WDDGF8BBXCR228894,b3735064-e892-41a8-95bb-834655da9de5,,999900000000059,2015-08-19T00:59:55.0000000,2015-08-19T00:59:59.9101774,0.9656064,0,1494,1,70.971894,7.3975005018,59.2,,4,13.5,25.92999,-80.13227,8,0.9,-0.83356525,9.2574776,2.2359162,254,West,6865,4001,175,xirgo,40807,2015-08-19T00:59:59.8096910,0,,0,,0,8b27a65b-3f2f-4279-8fff-463dd14f1f66,2,2015-08-18T18:41:22.7027792,2015-08-18T23:24:50.5956331,0,04:43:27.8928539,Record,Record,25.7795,-80.18883,30.43152,-81.65873,0
,,,,,,,,,,8a68213b-9153-4adc-b519-c08926ad0f6e,WDDGF8BBXCR228894,b3735064-e892-41a8-95bb-834655da9de5,,352648064308406,2015-08-19T00:59:55.0000000,2015-08-19T01:00:00.3313450,0.9656064,0,1494,1,70.971894,7.3975005018,59.2,,4,13.5,25.92999,-80.13227,8,0.9,-0.83356525,9.2574776,2.2359162,254,West,6865,4001,161,xirgo,40807,2015-08-19T00:59:59.8252851,0,,0,,0,8b27a65b-3f2f-4279-8fff-463dd14f1f66,2,2015-08-18T18:41:22.7027792,2015-08-18T23:24:50.5956331,0,04:43:27.8928539,Record,Record,25.7795,-80.18883,30.43152,-81.65873,0
,,,,,,,,,,881ccc20-09ae-4606-8af0-dd1f874f0f51,1N4AL3AP3DN480249,04d1b163-7ef5-490e-8707-f4914cac9674,,352648064338957,2015-08-19T00:59:55.0000000,2015-08-19T01:00:00.7443648,0,0,1137,1,73.868706,11.2237938648,94.9,,4,13.2,33.45727,-86.9639,161,1.1,-0.42168595,9.2378643,3.34406765,71,East,1171,6001,17,xirgo,7935,2015-08-19T01:00:00.2308096,0,,0,,0,b88c4fa1-f7e3-4bfb-ac09-ef812e91431c,2,2015-08-17T21:51:28.1166913,2015-08-18T11:17:18.0343988,0,13:25:49.9177075,Record,Record,33.44191,-86.99185,33.44196,-86.99183,0
2012,Volkswagen,Jetta,2.5L I5 170hp 177ft. lbs.,5,14.5,0,0,0,6-Speed Shiftable Automatic,1438ad47-af86-44b1-a030-98ed49ac44b7,3VWDX7AJ8CM420455,f56ffad7-5e54-421f-a249-305ed77324ad,,999900000000115,2015-08-19T00:59:55.0000000,2015-08-19T01:00:01.4525534,3.8624256,0,1738,1,28.96812,0,0,,4,13.8,26.50346,-80.06434,11,0.9,3.1969679,9.2378643,2.69682875,174,South,957,6001,4,xirgo,29487,2015-08-19T01:00:00.6099140,0,,0,,0,64bb10ec-df85-4d6d-a0e3-caced53d0369,2,2015-08-19T00:04:37.2464284,2015-08-19T00:04:37.2464284,0,00:00:00,Record,Record,26.43912,-80.09301,26.43912,-80.09301,0
0,,,,0,,0,0,0,,0e1dda93-76e2-4a77-9fa0-19c2eba90d74,JN8AS5MT9CW260662,740c7492-c140-4574-aabf-21cd3e188f4e,1,999900000000397,2015-08-19T00:59:55.0000000,2015-08-19T01:00:00.3690402,0,0,1137,1,73.868706,11.2237938648,94.9,1,4,13.2,33.45727,-86.9639,161,1.1,-0.42168595,9.2378643,3.34406765,71,East,1171,6001,45,xirgo,1041198,2015-08-19T01:00:00.2151370,0,,0,,0,a96260e3-bfe3-45fc-8c10-8abe96f1b8a2,2,2015-08-18T09:13:21.0956039,2015-08-19T00:58:53.4720417,0,15:45:32.3764378,Record,Record,40.71875,-73.36076,47.67526,-122.32182,0
2012,Volkswagen,Jetta,2.5L I5 170hp 177ft. lbs.,5,14.5,0,0,0,6-Speed Shiftable Automatic,cf676e77-4a14-4bef-9aa2-718e41c44732,3VWDX7AJ8CM420455,f56ffad7-5e54-421f-a249-305ed77324ad,,352648064336670,2015-08-19T00:59:55.0000000,2015-08-19T01:00:02.0982398,3.8624256,0,1738,1,28.96812,0,0,,4,13.8,26.50346,-80.06434,11,0.9,3.1969679,9.2378643,2.69682875,174,South,957,6001,229,xirgo,29488,2015-08-19T01:00:00.6329451,0,,0,,0,64bb10ec-df85-4d6d-a0e3-caced53d0369,2,2015-08-19T00:04:37.2464284,2015-08-19T00:04:37.2464284,0,00:00:00,Record,Record,26.43912,-80.09301,26.43912,-80.09301,0
